date,symbol,open,high,low,close,ltp,volume,amount,per_change,MACD,MACD_signal,RSI_14
2025-08-21,AHL,645.0,652.8,640.0,640.79,647.9,2201.0,1414198.0,-2.35,0.57,1.44,36.67
2025-08-20,AHL,638.0,660.0,638.0,656.22,654.0,3652.0,2390064.4,0.85,0.95,1.66,41.36
2025-08-19,AHL,626.0,655.0,626.0,650.68,652.0,12860.0,8310979.2,2.02,-0.15,1.84,36.72
2025-08-18,AHL,625.0,642.0,620.0,637.81,641.0,5057.0,3201686.1,1.61,-0.99,2.33,34.1
2025-08-17,AHL,626.0,651.0,622.3,627.73,627.0,8551.0,5392554.7,-1.63,-0.74,3.16,31.04
2025-08-14,AHL,622.0,670.0,622.0,638.11,639.0,4396.0,2795263.5,0.66,0.62,4.14,26.84
2025-08-13,AHL,623.5,648.6,623.5,633.95,644.8,9308.0,5918748.6,-0.35,1.29,5.02,38.77
2025-08-12,AHL,623.0,645.0,623.0,636.17,639.0,6082.0,3847302.2,0.15,2.55,5.95,44.89
2025-08-11,AHL,640.0,657.5,633.0,635.19,634.1,9409.0,6054632.0,-2.17,3.89,6.81,46.95
2025-08-07,AHL,640.0,657.7,640.0,649.29,649.5,5054.0,3276594.0,0.16,5.65,7.53,47.51
2025-08-06,AHL,649.0,660.0,635.0,648.24,646.1,14892.0,9666035.1,0.99,6.38,8.0,52.53
2025-08-05,AHL,645.0,669.0,631.0,641.9,641.9,5562.0,3570751.9,-0.22,7.32,8.41,56.88
2025-08-04,AHL,645.0,655.9,624.0,643.33,646.9,7228.0,4635698.5,-1.11,9.07,8.68,59.89
2025-08-03,AHL,658.0,668.0,645.0,650.53,646.0,11298.0,7376732.6,-2.99,11.01,8.59,65.29
2025-07-31,AHL,665.0,674.0,655.0,670.61,665.0,12779.0,8471597.0,-0.41,12.6,7.98,65.43
2025-07-30,AHL,665.0,682.0,665.0,673.35,670.7,18067.0,12222490.1,-0.44,12.41,6.82,58.42
2025-07-29,AHL,655.0,681.9,655.0,676.34,674.0,19328.0,13022035.4,1.35,11.7,5.43,61.45
2025-07-28,AHL,648.4,672.9,645.0,667.32,667.0,27914.0,18229067.9,0.9,10.32,3.86,63.27
2025-07-27,AHL,672.0,699.8,657.7,661.35,669.0,20137.0,13559934.9,-3.54,9.32,2.25,62.99
2025-07-24,AHL,667.0,700.0,651.0,685.61,690.0,18161.0,12226561.8,3.65,8.52,0.48,66.17
2025-07-23,AHL,649.0,663.0,640.0,661.46,661.9,9942.0,6468694.7,1.81,4.91,-1.53,59.25
2025-07-22,AHL,656.0,668.0,630.7,649.68,656.0,20070.0,13014352.1,0.95,2.69,-3.15,55.67
2025-07-21,AHL,669.1,669.1,639.0,643.56,648.0,10975.0,7113835.3,-1.9,1.02,-4.61,55.2
2025-07-20,AHL,641.0,668.0,620.0,656.05,645.0,26429.0,17177085.0,2.4,-0.51,-6.01,62.63
2025-07-17,AHL,608.0,653.8,608.0,640.65,640.0,19633.0,12483541.6,3.47,-3.73,-7.39,58.01
2025-07-16,AHL,597.0,621.0,597.0,619.18,620.0,3388.0,2079543.0,1.68,-6.22,-8.3,55.89
2025-07-15,AHL,607.3,619.4,595.0,608.93,609.0,7875.0,4758364.0,2.27,-7.11,-8.82,51.98
2025-07-14,AHL,627.3,652.5,588.0,595.4,606.0,32862.0,19620279.1,-3.2,-7.11,-9.25,46.67
2025-07-13,AHL,652.2,652.2,593.0,615.09,615.0,9532.0,5908869.9,-3.81,-5.62,-9.78,59.18
2025-07-10,AHL,640.9,643.0,579.5,639.42,640.0,12505.0,7961223.4,1.76,-5.64,-10.82,67.21
2025-07-09,AHL,604.1,634.6,604.1,628.37,634.6,2575.0,1596716.3,3.19,-8.07,-12.12,59.58
2025-07-08,AHL,600.1,613.0,600.1,608.95,612.4,660.0,401983.0,0.71,-9.92,-13.13,54.49
2025-07-07,AHL,607.0,621.0,601.0,604.66,601.0,3954.0,2420661.6,-2.23,-10.17,-13.93,48.59
2025-07-06,AHL,635.0,660.6,600.0,618.44,624.7,1230.0,768456.0,-1.22,-9.9,-14.87,48.98
2025-07-03,AHL,620.0,630.0,607.6,626.09,618.1,4310.0,2663363.0,-0.46,-10.81,-16.11,52.1
2025-07-02,AHL,624.0,637.3,612.6,629.0,629.0,9594.0,5951604.9,0.67,-12.6,-17.44,53.12
2025-07-01,AHL,599.0,632.0,599.0,624.81,632.0,4040.0,2498319.5,2.46,-14.99,-18.65,42.66
2025-06-30,AHL,613.0,613.0,600.0,609.83,611.9,4697.0,2845500.0,-0.56,-17.4,-19.56,37.7
2025-06-29,AHL,591.5,634.0,588.5,613.27,610.6,8027.0,4906128.0,2.21,-18.7,-20.1,34.68
2025-06-26,AHL,600.0,610.0,593.0,600.0,600.0,5651.0,3371952.2,-0.46,-20.43,-20.45,27.83
2025-06-25,AHL,600.0,624.9,595.0,602.78,605.0,770.0,469005.0,-0.37,-21.0,-20.46,25.26
2025-06-24,AHL,581.0,635.0,581.0,605.0,605.0,2434.0,1453914.9,2.65,-21.69,-20.32,46.73
2025-06-23,AHL,586.0,595.0,586.0,589.41,589.1,1550.0,914244.0,-1.28,-22.5,-19.98,36.56
2025-06-22,AHL,593.2,610.0,593.2,597.03,609.9,8489.0,5072676.5,-1.36,-21.61,-19.35,35.31
2025-06-19,AHL,594.0,612.0,594.0,605.29,600.0,6729.0,4063695.9,0.99,-20.93,-18.78,35.69
2025-06-18,AHL,610.5,612.0,590.0,599.35,595.0,6273.0,3763012.7,-1.39,-20.61,-18.24,31.01
2025-06-17,AHL,615.2,620.0,606.0,607.79,606.0,5616.0,3426291.0,-2.08,-19.29,-17.65,31.38
2025-06-16,AHL,612.0,630.0,612.0,620.68,621.0,4317.0,2691117.6,-0.17,-18.18,-17.24,36.24
2025-06-15,AHL,613.0,637.5,613.0,621.74,629.0,2102.0,1306747.0,-0.15,-17.82,-17.01,39.43
2025-06-12,AHL,654.0,654.0,618.6,622.66,621.2,16398.0,10284572.3,-3.0,-17.21,-16.81,33.37
2025-06-11,AHL,648.9,648.9,632.0,641.94,635.3,1311.0,838493.9,0.89,-16.27,-16.7,39.23
